time,price,volume
4/29/14,443.1325,837036.545
4/30/14,443.82,917808.745
5/1/14,453.69,959985.705
5/2/14,454.795,767808.485
5/3/14,443.9025,572934.05
5/4/14,437.525,737011.91
5/5/14,434.2875,665645.17
5/6/14,429.56,906958.13
5/7/14,440.2675,1107395.41
5/8/14,445.665,568440.965
5/9/14,445.21,508048.47
5/10/14,449.56,105279.78
5/11/14,442.3875,423552.42
5/12/14,435.675,305836.985
5/13/14,436.785,583350.555
5/14/14,438.6775,490116.27
5/15/14,445.5575,495586.17
5/16/14,449.685,400835.88
5/17/14,453.6475,389047.74
5/18/14,451.4925,327681.11
5/19/14,446.7325,302046.745
5/20/14,462.9875,442629.33
5/21/14,487.5875,345249.57
5/22/14,502.25,796099.815
5/23/14,522.3775,730051.41
5/24/14,518.905,747824.165
5/25/14,546.655,519816.04
5/26/14,575.8775,857978.3
5/27/14,573.4025,975394.685
5/28/14,571.3275,1029064.535
5/29/14,566.6975,1062645.54
5/30/14,588.5125,1847385.325
5/31/14,618.5075,1371375.37
6/1/14,643.6575,1163167.49
6/2/14,648.3425,1327502.885
6/3/14,658.2025,1443730.255
6/4/14,645.06,1803732.475
6/5/14,650.0225,914078.45
6/6/14,655.3875,1992150.605
6/7/14,650.7175,650430.465
6/8/14,652.5675,1085501.395
6/9/14,646.65,1064636.59
6/10/14,650.7725,1172212.835
6/11/14,650.9725,1247627.92
6/12/14,618.75,1466604.245
6/13/14,605.3725,2309854.87
6/14/14,592.805,1495241.415
6/15/14,578.5975,1138116.37
6/16/14,591.99,1203842.965
6/17/14,601.865,911794.86
6/18/14,607.3275,1020373.3
6/19/14,604.4075,1719444.415
6/20/14,595.0175,657503.365
6/21/14,592.955,688002.555
6/22/14,600.6825,621448.115
6/23/14,595.575,798743.7
6/24/14,590.25,921848.87
6/25/14,578.415,900385.91
6/26/14,574.9275,1202591.765
6/27/14,592.2525,1009226.465
6/28/14,600.63,890845.615
6/29/14,599.0225,869532.515
6/30/14,617.5075,1199347.12
7/1/14,641.24,1339730.14
7/2/14,636.3975,1552273.085
7/3/14,640.9325,1292495.37
7/4/14,631.8125,1147606.96
7/5/14,623.6025,1019106.505
7/6/14,625.425,850471.51
7/7/14,618.875,796737.3
7/8/14,614.48,1004052.7
7/9/14,618.1675,961774.565
7/10/14,619.5,1128387.95
7/11/14,625.255,986161.755
7/12/14,633.3225,1091359.525
7/13/14,632.5275,542266.93
7/14/14,622.85,802063.225
7/15/14,619.91,1157069.71
7/16/14,617.7275,938002.745
7/17/14,620.985,918348.955
7/18/14,625.53,1056285.215
7/19/14,628.4475,1254571.155
7/20/14,623.9775,722578.21
7/21/14,621.765,799574.37
7/22/14,624.1175,1036076.725
7/23/14,622.5525,687553.34
7/24/14,611.225,1450417.575
7/25/14,602.2075,1799049.295
7/26/14,598.1825,1049556.67
7/27/14,596.5525,1060776.2
7/28/14,589.6475,697148.58
7/29/14,586.1275,1984812.615
7/30/14,575.18,1200788.285
7/31/14,577.975,1030735.61
8/1/14,594.68,2682794.3
8/2/14,594.2075,640464.95
8/3/14,588.335,376732.55
8/4/14,590.8225,1025653.01
8/5/14,590.305,1216697.995
8/6/14,589.88,894475.365
8/7/14,591.3925,743761.185
8/8/14,597.2325,938072.67
8/9/14,592.085,422570.36
8/10/14,591.57,398961.195
8/11/14,583.3225,757416.055
8/12/14,570.955,949084.44
8/13/14,551.605,1332138.46
8/14/14,521.945,2809675.615
8/15/14,499.925,1206283.505
8/16/14,506.4875,980155.915
8/17/14,502.61,793856.27
8/18/14,472.7225,1498695.105
8/19/14,472.5375,1231609.615
8/20/14,498.0625,1485731.95
8/21/14,520.8125,1490062.37
8/22/14,514.7625,1561444.965
8/23/14,506.145,799891.67
8/24/14,504.755,648426.955
8/25/14,505.92,706179.51
8/26/14,508.335,917265.365
8/27/14,516.955,993105.17
8/28/14,512.7275,1155774.07
8/29/14,511.295,940244.19
8/30/14,508.6375,670025.945
8/31/14,493.5975,1494348.32
9/1/14,479.555,1633982.265
9/2/14,478.415,1649244.98
9/3/14,480.7725,1512456.485
9/4/14,486.44,2176986.44
9/5/14,488.1825,1509611.62
9/6/14,485.0725,943443.01
9/7/14,484.8575,879461.6
9/8/14,479.49,1978534.245
9/9/14,474.1775,1768170.23
9/10/14,479.3025,2033539.03
9/11/14,480.42,1546604.97
9/12/14,476.7675,1259846.84
9/13/14,477.795,1287533.825
9/14/14,477.05,1017997.84
9/15/14,477.1075,1379546.045
9/16/14,471.805,1573038.45
9/17/14,463.875,1764883.89
9/18/14,439.095,1977916.305
9/19/14,409.3,3038838.21
9/20/14,406.0975,2966982.995
9/21/14,405.685,2120074.215
9/22/14,403.765,2772648.31
9/23/14,420.3025,3754400.875
9/24/14,430.48,4619674.935
9/25/14,418.2925,3079008.01
9/26/14,408.2175,2489297.42
9/27/14,401.31,1980081.645
9/28/14,388.6225,2733637.93
9/29/14,379.435,3972722.08
9/30/14,383.7125,3268676.73
10/1/14,386.8125,3455287.375
10/2/14,378.6925,2742702.27
10/3/14,369.905,3147691.005
10/4/14,348.9375,4036885.295
10/5/14,324.3375,4771211.635
10/6/14,326.35,6841630.63
10/7/14,332.6125,5053096.16
10/8/14,339.8975,3717634.65
10/9/14,360.99,6527814.815
10/10/14,363.5175,5211633.31
