"date","datetime","time","open","high","low","close","volumefrom","volumeto"
2017-07-15,2017-07-15T00:00:00Z,1500076800,2862.71,2943.52,2606.21,2620.08,245.89,683433.92
2017-07-16,2017-07-16T00:00:00Z,1500163200,2620.08,2696.02,2400,2510,474.84,1214953.39
2017-07-17,2017-07-17T00:00:00Z,1500249600,2510,2976.16,2505,2976.02,627.51,1730406.69
2017-07-18,2017-07-18T00:00:00Z,1500336000,2976.02,3181.76,2829.13,3010.56,582.18,1749451.96
2017-07-19,2017-07-19T00:00:00Z,1500422400,3010.56,3135.87,2914.18,2970.38,447.3,1360163.06
2017-07-20,2017-07-20T00:00:00Z,1500508800,2970.38,3798.67,2920.07,3661.86,810.14,2669675.66
2017-07-21,2017-07-21T00:00:00Z,1500595200,3661.86,3690.11,3404.28,3414.74,374.4,1330366.57
2017-07-22,2017-07-22T00:00:00Z,1500681600,3414.74,3711.21,3414.15,3663.02,238.91,857138.29
2017-07-23,2017-07-23T00:00:00Z,1500768000,3663.02,3689.38,3407.63,3541.5,223.55,798585.8
2017-07-24,2017-07-24T00:00:00Z,1500854400,3541.5,3609.29,3489.01,3561.73,314.27,1118061.28
2017-07-25,2017-07-25T00:00:00Z,1500940800,3561.73,3581.06,3144.41,3325.03,608.19,2067778.52
2017-07-26,2017-07-26T00:00:00Z,1501027200,3325.03,3426.97,3137.12,3245,448.69,1459108.47
2017-07-27,2017-07-27T00:00:00Z,1501113600,3245,3492.29,3233.91,3429.58,344.31,1150751.39
2017-07-28,2017-07-28T00:00:00Z,1501200000,3429.58,3633.46,3393.75,3577.18,340.28,1194425.85
2017-07-29,2017-07-29T00:00:00Z,1501286400,3577.18,3618.74,3395.12,3457.08,187.17,654625.01
2017-07-30,2017-07-30T00:00:00Z,1501372800,3457.08,3658.3,3352.49,3529.74,194.31,674934.13
2017-07-31,2017-07-31T00:00:00Z,1501459200,3529.74,3753.36,3466.08,3715.96,235.62,851094.72
2017-08-01,2017-08-01T00:00:00Z,1501545600,3715.96,3775.1,3562.58,3737.46,216.28,805880.96
2017-08-02,2017-08-02T00:00:00Z,1501632000,3737.46,3778.43,3450.17,3541.7,338.43,1210917.46
2017-08-03,2017-08-03T00:00:00Z,1501718400,3541.7,3665.75,3500.96,3627.39,250.71,896538.61
2017-08-04,2017-08-04T00:00:00Z,1501804800,3627.39,3795.4,3541.01,3694.16,282.85,1023906.96
2017-08-05,2017-08-05T00:00:00Z,1501891200,3694.16,4250.29,3654.76,4142.7,359.61,1432462.18
2017-08-06,2017-08-06T00:00:00Z,1501977600,4142.7,4232.24,4024.82,4060.53,240.41,994967.05
2017-08-07,2017-08-07T00:00:00Z,1502064000,4060.53,4351.02,4042.87,4343.37,515.91,2171303.77
2017-08-08,2017-08-08T00:00:00Z,1502150400,4343.37,4451.84,4253.87,4429.94,450.67,1987455.26
2017-08-09,2017-08-09T00:00:00Z,1502236800,4429.94,4431.99,4211.05,4385.94,421.5,1837426.75
2017-08-10,2017-08-10T00:00:00Z,1502323200,4385.94,4447.39,4268.97,4396.68,496.66,2178345.14
2017-08-11,2017-08-11T00:00:00Z,1502409600,4396.68,4738.87,4358.2,4708.29,441,1995881.52
2017-08-12,2017-08-12T00:00:00Z,1502496000,4708.29,5034.94,4628.73,5001.05,571.53,2775459.37
2017-08-13,2017-08-13T00:00:00Z,1502582400,5001.05,5400.14,4931.96,5318.14,499.01,2605853.83
2017-08-14,2017-08-14T00:00:00Z,1502668800,5318.14,5744.94,5148.26,5744.94,595.94,3257302.39
2017-08-15,2017-08-15T00:00:00Z,1502755200,5744.94,5997.5,5008.31,5579.36,913.36,5067638.72
2017-08-16,2017-08-16T00:00:00Z,1502841600,5579.36,5806.75,5227.77,5693.55,520.94,2873305.12
2017-08-17,2017-08-17T00:00:00Z,1502928000,5693.55,5878.07,5548.11,5607.88,569.81,3257329.63
